Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration
802250596,MNQM5,04/10/2025 15:35:02 +02:00,04/10/2025 15:35:04 +02:00,18837.000000000,18825.750000000,2.22000,-67.500000000,3,Long,04/10/2025 00:00:00 -05:00,00:00:01.4021460
824843687,MNQM5,04/16/2025 10:26:12 +02:00,04/16/2025 10:27:14 +02:00,18552.750000000,18543.750000000,3.70000,-90.000000000,5,Long,04/16/2025 00:00:00 -05:00,00:01:02.1728860
824843688,MNQM5,04/16/2025 10:26:21 +02:00,04/16/2025 10:27:14 +02:00,18554.250000000,18543.750000000,3.70000,-105.000000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:53.4260770
824843689,MNQM5,04/16/2025 10:27:08 +02:00,04/16/2025 10:27:14 +02:00,18550.500000000,18543.750000000,3.70000,-67.500000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:06.3055020
824854087,MNQM5,04/16/2025 10:27:50 +02:00,04/16/2025 10:27:55 +02:00,18686.000000000,18708.750000000,3.70000,227.500000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:04.8043440
824854088,MNQM5,04/16/2025 10:27:50 +02:00,04/16/2025 10:27:55 +02:00,18682.250000000,18708.750000000,3.70000,265.000000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:04.6304630
824854089,MNQM5,04/16/2025 10:27:50 +02:00,04/16/2025 10:27:55 +02:00,18685.500000000,18708.750000000,3.70000,232.500000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:04.5228650
824856423,MNQM5,04/16/2025 10:28:03 +02:00,04/16/2025 10:28:04 +02:00,18673.250000000,18690.250000000,3.70000,-170.000000000,5,Short,04/16/2025 00:00:00 -05:00,00:00:01.4800260
824856424,MNQM5,04/16/2025 10:28:03 +02:00,04/16/2025 10:28:04 +02:00,18680.000000000,18690.250000000,3.70000,-102.500000000,5,Short,04/16/2025 00:00:00 -05:00,00:00:01.3175750
824858008,MNQM5,04/16/2025 10:28:07 +02:00,04/16/2025 10:28:26 +02:00,18684.500000000,18685.250000000,3.70000,-7.500000000,5,Short,04/16/2025 00:00:00 -05:00,00:00:19.4789630
824860063,MNQM5,04/16/2025 10:28:53 +02:00,04/16/2025 10:28:56 +02:00,18686.750000000,18670.750000000,3.70000,-160.000000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:02.3835440
824860064,MNQM5,04/16/2025 10:28:53 +02:00,04/16/2025 10:28:56 +02:00,18685.500000000,18670.750000000,3.70000,-147.500000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:02.2054060
824851242,MNQM5,04/16/2025 10:27:31 +02:00,04/16/2025 10:27:45 +02:00,18599.000000000,18652.750000000,3.70000,537.500000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:14.1270230
824851243,MNQM5,04/16/2025 10:27:31 +02:00,04/16/2025 10:27:45 +02:00,18598.000000000,18652.750000000,3.70000,547.500000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:13.9376930
824851244,MNQM5,04/16/2025 10:27:32 +02:00,04/16/2025 10:27:45 +02:00,18625.000000000,18652.750000000,3.70000,277.500000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:13.1113340
824851245,MNQM5,04/16/2025 10:27:32 +02:00,04/16/2025 10:27:45 +02:00,18628.500000000,18652.750000000,3.70000,242.500000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:12.9418830
824859051,MNQM5,04/16/2025 10:28:30 +02:00,04/16/2025 10:28:40 +02:00,18669.750000000,18660.000000000,3.70000,97.500000000,5,Short,04/16/2025 00:00:00 -05:00,00:00:10.5619080
824859052,MNQM5,04/16/2025 10:28:33 +02:00,04/16/2025 10:28:40 +02:00,18664.250000000,18660.000000000,3.70000,42.500000000,5,Short,04/16/2025 00:00:00 -05:00,00:00:07.3957910
824860531,MNQM5,04/16/2025 10:28:59 +02:00,04/16/2025 10:29:04 +02:00,18663.500000000,18679.750000000,3.70000,-162.500000000,5,Short,04/16/2025 00:00:00 -05:00,00:00:05.4010730
824860533,MNQM5,04/16/2025 10:28:59 +02:00,04/16/2025 10:29:04 +02:00,18663.000000000,18679.750000000,3.70000,-167.500000000,5,Short,04/16/2025 00:00:00 -05:00,00:00:05.2171680
824865208,MNQM5,04/16/2025 10:30:01 +02:00,04/16/2025 10:30:10 +02:00,18667.000000000,18684.500000000,3.70000,175.000000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:09.6111850
824861826,MNQM5,04/16/2025 10:29:06 +02:00,04/16/2025 10:29:20 +02:00,18693.750000000,18705.750000000,3.70000,120.000000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:14.1638800
824861827,MNQM5,04/16/2025 10:29:07 +02:00,04/16/2025 10:29:20 +02:00,18698.250000000,18705.750000000,3.70000,75.000000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:12.7977850
824861828,MNQM5,04/16/2025 10:29:07 +02:00,04/16/2025 10:29:20 +02:00,18700.500000000,18705.750000000,3.70000,52.500000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:12.6428650
824871835,MNQM5,04/16/2025 10:31:48 +02:00,04/16/2025 10:32:13 +02:00,18672.000000000,18687.500000000,3.70000,-155.000000000,5,Short,04/16/2025 00:00:00 -05:00,00:00:25.0896840
824871836,MNQM5,04/16/2025 10:31:49 +02:00,04/16/2025 10:32:13 +02:00,18671.750000000,18687.500000000,3.70000,-157.500000000,5,Short,04/16/2025 00:00:00 -05:00,00:00:24.9039140
824870165,MNQM5,04/16/2025 10:31:30 +02:00,04/16/2025 10:31:39 +02:00,18679.000000000,18676.750000000,3.70000,22.500000000,5,Short,04/16/2025 00:00:00 -05:00,00:00:08.7390270
824870166,MNQM5,04/16/2025 10:31:30 +02:00,04/16/2025 10:31:39 +02:00,18679.250000000,18676.750000000,3.70000,25.000000000,5,Short,04/16/2025 00:00:00 -05:00,00:00:08.5653150
824874384,MNQM5,04/16/2025 10:32:44 +02:00,04/16/2025 10:33:16 +02:00,18686.750000000,18687.750000000,3.70000,-10.000000000,5,Short,04/16/2025 00:00:00 -05:00,00:00:32.3343720
824865347,MNQM5,04/16/2025 10:30:03 +02:00,04/16/2025 10:30:13 +02:00,18678.000000000,18683.250000000,3.70000,52.500000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:09.8829070
824868660,MNQM5,04/16/2025 10:30:04 +02:00,04/16/2025 10:31:07 +02:00,18677.000000000,18685.500000000,3.70000,85.000000000,5,Long,04/16/2025 00:00:00 -05:00,00:01:03.5675280
824872914,MNQM5,04/16/2025 10:32:28 +02:00,04/16/2025 10:32:36 +02:00,18685.750000000,18688.750000000,3.70000,-30.000000000,5,Short,04/16/2025 00:00:00 -05:00,00:00:08.0563790
824872915,MNQM5,04/16/2025 10:32:28 +02:00,04/16/2025 10:32:36 +02:00,18686.250000000,18688.750000000,3.70000,-25.000000000,5,Short,04/16/2025 00:00:00 -05:00,00:00:07.8808520
824872916,MNQM5,04/16/2025 10:32:29 +02:00,04/16/2025 10:32:36 +02:00,18682.750000000,18688.750000000,3.70000,-60.000000000,5,Short,04/16/2025 00:00:00 -05:00,00:00:06.7251770
824872917,MNQM5,04/16/2025 10:32:29 +02:00,04/16/2025 10:32:36 +02:00,18683.750000000,18688.750000000,3.70000,-50.000000000,5,Short,04/16/2025 00:00:00 -05:00,00:00:06.6458620
824881078,MNQM5,04/16/2025 10:35:45 +02:00,04/16/2025 10:35:58 +02:00,18691.250000000,18701.000000000,3.70000,-97.500000000,5,Short,04/16/2025 00:00:00 -05:00,00:00:12.5142870
824885732,MNQM5,04/16/2025 10:37:46 +02:00,04/16/2025 10:37:59 +02:00,18687.250000000,18702.500000000,3.70000,-152.500000000,5,Short,04/16/2025 00:00:00 -05:00,00:00:12.5980210
824879676,MNQM5,04/16/2025 10:34:48 +02:00,04/16/2025 10:35:36 +02:00,18695.000000000,18705.750000000,3.70000,107.500000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:47.9089680
824887894,MNQM5,04/16/2025 10:38:19 +02:00,04/16/2025 10:38:30 +02:00,18721.250000000,18710.500000000,3.70000,-107.500000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:10.8852250
824887895,MNQM5,04/16/2025 10:38:22 +02:00,04/16/2025 10:38:30 +02:00,18721.000000000,18710.500000000,3.70000,-105.000000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:07.6002660
824878410,MNQM5,04/16/2025 10:34:44 +02:00,04/16/2025 10:35:10 +02:00,18691.000000000,18709.750000000,3.70000,187.500000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:26.2933650
824890949,MNQM5,04/16/2025 10:39:59 +02:00,04/16/2025 10:40:10 +02:00,18715.500000000,18718.500000000,3.70000,30.000000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:11.0149030
824884483,MNQM5,04/16/2025 10:36:57 +02:00,04/16/2025 10:37:31 +02:00,18693.250000000,18695.500000000,3.70000,-22.500000000,5,Short,04/16/2025 00:00:00 -05:00,00:00:33.9778370
824884484,MNQM5,04/16/2025 10:36:59 +02:00,04/16/2025 10:37:31 +02:00,18692.000000000,18695.500000000,3.70000,-35.000000000,5,Short,04/16/2025 00:00:00 -05:00,00:00:31.9415230
824882756,MNQM5,04/16/2025 10:36:31 +02:00,04/16/2025 10:36:49 +02:00,18709.750000000,18699.000000000,3.70000,-107.500000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:18.4187760
824882757,MNQM5,04/16/2025 10:36:43 +02:00,04/16/2025 10:36:49 +02:00,18705.250000000,18699.000000000,3.70000,-62.500000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:05.9105280
824889591,MNQM5,04/16/2025 10:38:32 +02:00,04/16/2025 10:39:24 +02:00,18709.000000000,18720.000000000,3.70000,110.000000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:51.8863170
824889484,MNQM5,04/16/2025 10:38:32 +02:00,04/16/2025 10:39:21 +02:00,18710.750000000,18719.000000000,3.70000,82.500000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:49.0600400
824897132,MNQM5,04/16/2025 10:40:35 +02:00,04/16/2025 10:41:12 +02:00,18736.000000000,18796.000000000,3.70000,600.000000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:37.7577900
824897133,MNQM5,04/16/2025 10:40:53 +02:00,04/16/2025 10:41:12 +02:00,18747.250000000,18796.000000000,3.70000,487.500000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:19.6246790
824897134,MNQM5,04/16/2025 10:40:53 +02:00,04/16/2025 10:41:12 +02:00,18746.750000000,18796.000000000,3.70000,492.500000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:19.1601020
824898542,MNQM5,04/16/2025 10:41:18 +02:00,04/16/2025 10:41:21 +02:00,18807.750000000,18792.500000000,3.70000,-152.500000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:02.9097760
824898543,MNQM5,04/16/2025 10:41:18 +02:00,04/16/2025 10:41:21 +02:00,18809.000000000,18792.500000000,3.70000,-165.000000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:02.7652500
824902693,MNQM5,04/16/2025 10:41:27 +02:00,04/16/2025 10:41:58 +02:00,18795.000000000,18844.500000000,3.70000,495.000000000,5,Long,04/16/2025 00:00:00 -05:00,00:00:31.4106010
